dis,ring,wuye,fitment,contype,price,rong,lv,area,ratio
朝阳,三至四环,公寓,精装修,塔楼,11800,4.9,30,25615,1.216216216
朝阳,三至四环,公寓,精装修,塔楼,13500,2.6,35,90000,1
朝阳,三至四环,公寓,精装修,塔楼,10000,6,43.7,190000,1
朝阳,三至四环,公寓,精装修,塔楼,13000,4.07,40,82000,1
朝阳,二至三环,公寓,粗装修,塔楼,9000,6.7,30,59000,0.798122066
朝阳,二至三环,公寓,精装修,塔楼,13000,4,40,300000,1
朝阳,二至三环,公寓,精装修,塔楼,13000,3.9,36.4,155500,1.3
朝阳,二至三环,公寓,毛坯,塔楼,8800,8.3,35,60000,1
朝阳,四至五环,普通住宅,精装修,板塔结合,6200,3.8,60,350000,1
朝阳,四至五环,普通住宅,毛坯,板塔结合,6700,2.4,40,480000,1
朝阳,四至五环,公寓,毛坯,板塔结合,6600,2.4,40,480000,1
朝阳,四至五环,公寓,精装修,板塔结合,8800,5.68,35,117000,1.020491803
朝阳,三至四环,普通住宅,毛坯,板塔结合,5300,2.9,40,440000,1
朝阳,三至四环,公寓,精装修,板塔结合,12000,3.4,50,240000,1.5
朝阳,三至四环,公寓,精装修,板塔结合,12000,3.98,30.8,250000,1.048192771
朝阳,二至三环,公寓,精装修,板塔结合,16000,7.5,42,39800,1.31
朝阳,二至三环,公寓,精装修,板塔结合,11000,5.5,40,80000,1
朝阳,二环以内,公寓,精装修,板塔结合,23517,8,31,48216,0.952380952
朝阳,五环以外,普通住宅,精装修,高层,5150,0.96,40,800000,1.027186761
朝阳,五环以外,普通住宅,精装修,高层,5500,0.84,40,100000,1.076923077
朝阳,五环以外,普通住宅,毛坯,高层,4500,2.5,30,500000,1
朝阳,五环以外,普通住宅,毛坯,高层,3500,1.6,40,20000,1
朝阳,四至五环,普通住宅,毛坯,高层,8000,2,40,500000,1
朝阳,四至五环,普通住宅,粗装修,高层,5400,16,40,80000,1
朝阳,四至五环,普通住宅,毛坯,高层,6000,10,30,30000,1
朝阳,四至五环,普通住宅,毛坯,高层,8000,2,40,500000,1
朝阳,四至五环,普通住宅,毛坯,高层,4200,1.2,30,890000,1
朝阳,四至五环,公寓,粗装修,高层,5800,2.8,30,220000,1.2
朝阳,四至五环,公寓,粗装修,高层,6500,2,38,60000,1
朝阳,三至四环,普通住宅,毛坯,高层,5800,4,35,100000,1.5
朝阳,三至四环,公寓,精装修,高层,10000,3.99,31.5,240284,1.074166667
朝阳,三至四环,公寓,精装修,高层,12000,6,30,263000,2
朝阳,二至三环,公寓,精装修,高层,14500,2.48,26,200000,0.426666667
朝阳,二至三环,公寓,精装修,高层,11000,7,40,70000,1
朝阳,二至三环,公寓,精装修,高层,15500,6.5,30,18500,2
朝阳,二至三环,公寓,精装修,高层,13000,5.8,30,50000,1
朝阳,二至三环,公寓,精装修,高层,11600,5.7,30,40000,2
朝阳,二至三环,公寓,粗装修,高层,9600,3.2,33,200000,1
朝阳,二至三环,公寓,毛坯,高层,9800,1.4,32,200000,1.2
朝阳,三至四环,普通住宅,粗装修,高层,3500,3.6,30,18000,1
宣武,二至三环,普通住宅,毛坯,塔楼,5500,3,35,30000,1
宣武,二环以内,普通住宅,毛坯,板楼,8200,2.34,39.6,11300,1
宣武,二环以内,普通住宅,毛坯,板楼,8400,2.3,35,50000,1
宣武,二环以内,普通住宅,毛坯,板楼,6300,5.15,40,100000,1
宣武,二环以内,普通住宅,毛坯,板楼,12000,4.5,30,63806.5,1
宣武,二至三环,普通住宅,毛坯,塔楼,5680,4.21,31,40000,0.5
宣武,二至三环,普通住宅,粗装修,塔楼,7000,6.7,35,140000,2.166666667
宣武,二至三环,公寓,精装修,塔楼,5500,4.6,50,70000,0.67114094
宣武,二环以内,普通住宅,毛坯,塔楼,6500,4.8,20,24000,0.296296296
宣武,二至三环,普通住宅,精装修,板塔结合,5800,4.6,31,70000,0.625
宣武,二环以内,普通住宅,毛坯,板塔结合,6080,1.1,30,150000,0.346420323
宣武,二环以内,普通住宅,精装修,板塔结合,6800,7.7,30,46000,0.344827586
宣武,二环以内,普通住宅,毛坯,板塔结合,6900,3.8,40,100000,1
宣武,二环以内,公寓,精装修,板塔结合,7700,7.4,30,105000,0.471698113
宣武,二至三环,普通住宅,毛坯,高层,5220,7.1,30,10053,1
海淀,五环以外,普通住宅,毛坯,板楼,5500,3,30.8,29565,0.423076923
海淀,五环以外,普通住宅,精装修,板楼,6380,1.1,39,168000,1
海淀,五环以外,普通住宅,毛坯,板楼,7380,1.08,50,200000,1.2
海淀,五环以外,公寓,毛坯,板楼,6600,4.5,30,14000,1
海淀,五环以外,公寓,毛坯,板楼,6600,4.5,30,14000,1
海淀,四至五环,普通住宅,毛坯,板楼,5750,1.9,30,45000,0.595238095
海淀,四至五环,普通住宅,毛坯,板楼,4880,12.5,30,75000,1
海淀,四至五环,公寓,毛坯,板楼,5100,2,51,210000,0.784313725
海淀,四至五环,公寓,毛坯,板楼,6300,1.3,30,38000,0.88125
海淀,四至五环,公寓,精装修,板楼,7800,4,60,170000,1.0525
海淀,四至五环,公寓,毛坯,板楼,5600,3,35,10000,1
海淀,三至四环,普通住宅,毛坯,板楼,7500,2.7,61,118000,1.2
海淀,三至四环,普通住宅,毛坯,板楼,9000,4.2,35,180000,1
海淀,三至四环,普通住宅,毛坯,板楼,9800,0.8,45,280000,1.5
海淀,三至四环,普通住宅,毛坯,板楼,6000,7,30,50000,1
海淀,三至四环,普通住宅,粗装修,板楼,7300,2.06,36.7,170000,1
海淀,三至四环,普通住宅,粗装修,板楼,7700,1.9,50,43000,1.5
海淀,三至四环,公寓,毛坯,板楼,11000,0.8,45.2,66000,1.333333333
海淀,二至三环,普通住宅,毛坯,板楼,8500,2.6,30,310000,1
海淀,二至三环,普通住宅,毛坯,板楼,8500,5,30,310000,1
海淀,二至三环,公寓,精装修,板楼,7200,3.2,30,25850,1
海淀,五环以外,普通住宅,毛坯,塔楼,4750,2.6,30,68000,0.420168067
海淀,四至五环,普通住宅,毛坯,塔楼,8500,2.1,35,27000,0.99009901
海淀,四至五环,普通住宅,毛坯,塔楼,7500,10,47,16600,1
海淀,四至五环,普通住宅,毛坯,塔楼,7300,3.1,46.6,160000,1
海淀,三至四环,普通住宅,毛坯,塔楼,5218,20,26,20000,1
海淀,三至四环,普通住宅,毛坯,塔楼,7500,8,31,80000,1
海淀,三至四环,普通住宅,粗装修,塔楼,6500,5,30,30000,1
海淀,三至四环,普通住宅,毛坯,塔楼,7300,4.5,40,188000,1
海淀,三至四环,普通住宅,毛坯,塔楼,7000,4.1,30,27000,1
海淀,三至四环,公寓,毛坯,塔楼,8500,3.1,37.12,300000,1
海淀,三至四环,公寓,毛坯,塔楼,9200,4,35,36000,1.315789474
海淀,二至三环,普通住宅,毛坯,塔楼,7450,7.57,35,80000,0.532
海淀,二至三环,普通住宅,毛坯,塔楼,7500,4,40,200000,1
海淀,二至三环,普通住宅,毛坯,塔楼,8200,3.76,36,65000,0.4048583
海淀,二至三环,公寓,毛坯,塔楼,7500,3.8,40,200000,1
海淀,二至三环,公寓,毛坯,塔楼,8800,5.6,25,260000,4.362416107
海淀,二至三环,公寓,毛坯,塔楼,9500,2.5,50,300000,1
海淀,二至三环,公寓,毛坯,塔楼,11000,4,35,240000,1.211453744
海淀,三至四环,普通住宅,毛坯,板塔结合,8000,2.8,60,400000,0.5
海淀,三至四环,普通住宅,毛坯,板塔结合,9700,3,30,125000,0.598205384
海淀,三至四环,普通住宅,毛坯,板塔结合,7500,4,33,64000,0.6
海淀,三至四环,公寓,精装修,板塔结合,8300,3.2,53,440,1.2
海淀,五环以外,普通住宅,毛坯,高层,7380,1.08,50,200000,1.2
海淀,四至五环,普通住宅,粗装修,塔楼,5500,4.2,30,38000,1
海淀,四至五环,普通住宅,粗装修,高层,5900,2.9,47,110000,1
海淀,四至五环,普通住宅,毛坯,高层,6000,2,37,140000,1
海淀,三至四环,普通住宅,毛坯,高层,7200,2.26,42,37660,1
海淀,三至四环,普通住宅,精装修,高层,8600,5,30,27000,1
海淀,三至四环,普通住宅,粗装修,高层,5600,4.5,30,90000,1
海淀,三至四环,普通住宅,粗装修,高层,6700,4.4,40,160000,1
海淀,三至四环,公寓,毛坯,高层,7980,3,63,80000,1
海淀,二至三环,公寓,毛坯,高层,7500,1.6,50,160000,1.5
东城,二至三环,公寓,毛坯,板楼,13800,2.98,50,212803,1.3
东城,二环以内,普通住宅,毛坯,板楼,7700,2,30,40000,0.752066116
东城,二环以内,普通住宅,毛坯,板楼,8000,1.8,30,11000,1
东城,二环以内,普通住宅,毛坯,板楼,8800,2,30,37000,1
东城,二环以内,普通住宅,毛坯,板楼,9000,2.76,35,200000,1.5
东城,二环以内,公寓,毛坯,板楼,12500,3.2,30,29000,0.821705426
东城,二至三环,公寓,毛坯,塔楼,8400,4.77,30,56000,1.470588235
东城,二至三环,公寓,精装修,塔楼,10000,3,37,200000,1
东城,二至三环,普通住宅,毛坯,板塔结合,6900,4.5,30,46000,0.327868852
东城,二至三环,普通住宅,精装修,板塔结合,11000,5,30,59000,1.479381443
东城,二至三环,普通住宅,精装修,板塔结合,14500,3,33,660000,1.2
东城,二至三环,公寓,精装修,板塔结合,15457,4.5,50,78000,4.5
东城,二至三环,普通住宅,精装修,高层,13000,3,48,100000,1
东城,二环以内,公寓,精装修,高层,14500,2.48,26,200000,2.34375
东城,二环以内,公寓,精装修,高层,20000,11.7,30,46000,2.39
东城,二环以内,公寓,毛坯,高层,16000,0.81,25,9378,1
西城,二至三环,普通住宅,粗装修,板楼,8000,2.08,32,56000,0.561797753
西城,二环以内,普通住宅,毛坯,板楼,7700,2.5,30,55000,1
西城,二环以内,普通住宅,精装修,塔楼,9500,6.6,26,28000,1
西城,二环以内,公寓,精装修,塔楼,13700,6.8,28,15000,1.411764706
西城,二环以内,公寓,精装修,板塔结合,19300,4.7,40,85000,1.19047619
崇文,二至三环,普通住宅,精装修,板楼,7400,5,33,100000,0.483333333
崇文,二至三环,普通住宅,精装修,板楼,11000,1.8,32,48000,1
崇文,二环以内,公寓,毛坯,板楼,8500,1.8,40,60000,1.5
崇文,二环以内,公寓,毛坯,板楼,9000,1,40,22000,1.762376238
崇文,二环以内,公寓,精装修,板楼,8100,2.6,32,760000,1
崇文,二环以内,公寓,毛坯,板楼,8000,1.5,30,35000,1
崇文,三至四环,普通住宅,毛坯,塔楼,5300,2.8,40,130000,1
崇文,二至三环,普通住宅,毛坯,塔楼,5200,2.96,45,25000,0.5
崇文,二至三环,公寓,毛坯,塔楼,6500,1.98,35,240000,1
崇文,二环以内,普通住宅,毛坯,塔楼,6500,3.1,31.5,50000,0.988023952
崇文,二环以内,普通住宅,毛坯,塔楼,7800,6.7,35,10260,1
崇文,二环以内,普通住宅,毛坯,塔楼,6900,3,48,260000,1
崇文,二环以内,公寓,精装修,塔楼,13000,10,30,164095,1
崇文,二环以内,普通住宅,精装修,高层,12800,4.5,50,36000,1
崇文,二环以内,普通住宅,精装修,高层,9500,4.3,30,200000,1
崇文,二环以内,普通住宅,毛坯,高层,5400,2.79,35,17194,1
石景山,五环以外,普通住宅,毛坯,板楼,3800,16,30,50000,1.5
石景山,五环以外,普通住宅,毛坯,塔楼,4000,4.5,40,70000,1
石景山,五环以外,普通住宅,毛坯,塔楼,4200,4,30,75000,1
石景山,五环以外,普通住宅,毛坯,塔楼,4300,1.99,36,150000,0.4
石景山,五环以外,普通住宅,毛坯,塔楼,3600,6.5,35,30000,1
石景山,五环以外,普通住宅,毛坯,板塔结合,5500,3.39,31,90000,1
石景山,五环以外,普通住宅,精装修,板塔结合,4000,2.48,48,158800,1
石景山,五环以外,普通住宅,粗装修,高层,4280,6.2,35,26143,1
石景山,五环以外,公寓,毛坯,高层,3980,3.7,37,14000,1
